id	names	class
GO:0000173	inactivation of mapk activity involved in osmosensory signaling pathway	BP
GO:0000175	3 5 exoribonuclease activity	MF
GO:0000176	nuclear exosome rnase complex	CC
GO:0000177	cytoplasmic exosome rnase complex	CC
GO:0000178	exosome rnase complex	CC
GO:0000179	rrna adenine n6 n6 dimethyltransferase activity	MF
GO:0000182	rdna binding	MF
GO:0000183	chromatin silencing at rdna	BP
GO:0000184	nuclear transcribed mrna catabolic process nonsense mediated decay	BP
GO:0000185	activation of mapkkk activity	BP
GO:0000186	activation of mapkk activity	BP
GO:0000187	activation of mapk activity	BP
GO:0000188	inactivation of mapk activity	BP
GO:0000196	cell wall integrity mapk cascade	BP
GO:0000197	activation of mapkkk activity involved in cell wall organization or biogenesis	BP
GO:0000198	activation of mapkk activity involved in cell wall organization or biogenesis	BP
GO:0000199	activation of mapk activity involved in cell wall organization or biogenesis	BP
GO:0000200	inactivation of mapk activity involved in cell wall organization or biogenesis	BP
GO:0000209	protein polyubiquitination	BP
GO:0000210	nad+ diphosphatase activity	MF
GO:0000212	meiotic spindle organization	BP
GO:0000213	trna intron endonuclease activity	MF
GO:0000214	trna intron endonuclease complex	CC
GO:0000215	trna 2 phosphotransferase activity	MF
GO:0000217	dna secondary structure binding	MF
GO:0000220	vacuolar proton transporting v type atpase v0 domain	CC
GO:0000221	vacuolar proton transporting v type atpase v1 domain	CC
GO:0000222	plasma membrane proton transporting v type atpase v0 domain	CC
GO:0000223	plasma membrane proton transporting v type atpase v1 domain	CC
GO:0000224	peptide n4 n acetyl beta glucosaminyl asparagine amidase activity	MF
GO:0000225	n acetylglucosaminylphosphatidylinositol deacetylase activity	MF
GO:0000226	microtubule cytoskeleton organization	BP
GO:0000227	oxaloacetate secondary active transmembrane transporter activity	MF
GO:0000228	nuclear chromosome	CC
GO:0000229	cytoplasmic chromosome	CC
GO:0000234	phosphoethanolamine n methyltransferase activity	MF
GO:0000235	astral microtubule	CC
GO:0000236	mitotic prometaphase	BP
GO:0000237	leptotene	BP
GO:0000238	zygotene	BP
GO:0000239	pachytene	BP
GO:0000240	diplotene	BP
GO:0000241	diakinesis	BP
GO:0000242	pericentriolar material	CC
GO:0000243	commitment complex	CC
GO:0000244	spliceosomal tri snrnp complex assembly	BP
GO:0000245	spliceosomal complex assembly	BP
GO:0000246	delta24 24 1 sterol reductase activity	MF
GO:0000247	c 8 sterol isomerase activity	MF
GO:0000248	c 5 sterol desaturase activity	MF
GO:0000249	c 22 sterol desaturase activity	MF
GO:0000250	lanosterol synthase activity	MF
GO:0000252	c 3 sterol dehydrogenase c 4 sterol decarboxylase activity	MF
GO:0000253	3 keto sterol reductase activity	MF
GO:0000254	c 4 methylsterol oxidase activity	MF
GO:0000255	allantoin metabolic process	BP
GO:0000256	allantoin catabolic process	BP
GO:0000257	nitrilase activity	MF
GO:0000262	mitochondrial chromosome	CC
GO:0000266	mitochondrial fission	BP
GO:0000268	peroxisome targeting sequence binding	MF
GO:0000269	toxin export channel activity	MF
GO:0000270	peptidoglycan metabolic process	BP
GO:0000271	polysaccharide biosynthetic process	BP
GO:0000272	polysaccharide catabolic process	BP
GO:0000274	mitochondrial proton transporting atp synthase stator stalk	CC
GO:0000275	mitochondrial proton transporting atp synthase complex catalytic core f 1	CC
GO:0000276	mitochondrial proton transporting atp synthase complex coupling factor f o	CC
GO:0000277	cytochrome c lysine n methyltransferase activity	MF
GO:0000278	mitotic cell cycle	BP
GO:0000279	m phase	BP
GO:0000280	nuclear division	BP
GO:0000281	mitotic cytokinesis	BP
GO:0000282	cellular bud site selection	BP
GO:0000285	1 phosphatidylinositol 3 phosphate 5 kinase activity	MF
GO:0000286	alanine dehydrogenase activity	MF
GO:0000287	magnesium ion binding	MF
GO:0000288	nuclear transcribed mrna catabolic process deadenylation dependent decay	BP
GO:0000289	nuclear transcribed mrna poly a tail shortening	BP
GO:0000290	deadenylation dependent decapping of nuclear transcribed mrna	BP
GO:0000291	nuclear transcribed mrna catabolic process exonucleolytic	BP
GO:0000292	rna fragment catabolic process	BP
GO:0000293	ferric chelate reductase activity	MF
GO:0000294	nuclear transcribed mrna catabolic process endonucleolytic cleavage dependent decay	BP
GO:0000295	adenine nucleotide transmembrane transporter activity	MF
GO:0000296	spermine transport	BP
GO:0000297	spermine transmembrane transporter activity	MF
GO:0000298	endopolyphosphatase activity	MF
GO:0000301	retrograde transport vesicle recycling within golgi	BP
GO:0000302	response to reactive oxygen species	BP
GO:0000303	response to superoxide	BP
GO:0000304	response to singlet oxygen	BP
GO:0000305	response to oxygen radical	BP
GO:0000306	extrinsic component of vacuolar membrane	CC
GO:0000307	cyclin dependent protein kinase holoenzyme complex	CC
GO:0000308	cytoplasmic cyclin dependent protein kinase holoenzyme complex	CC
GO:0000309	nicotinamide nucleotide adenylyltransferase activity	MF
GO:0000310	xanthine phosphoribosyltransferase activity	MF
GO:0000311	plastid large ribosomal subunit	CC
GO:0000312	plastid small ribosomal subunit	CC
GO:0000313	organellar ribosome	CC
GO:0000314	organellar small ribosomal subunit	CC
GO:0000315	organellar large ribosomal subunit	CC
GO:0000316	sulfite transport	BP
GO:0000319	sulfite transmembrane transporter activity	MF
GO:0000320	re entry into mitotic cell cycle	BP
GO:0000321	re entry into mitotic cell cycle after pheromone arrest	BP
GO:0000322	storage vacuole	CC
GO:0000323	lytic vacuole	CC
GO:0000324	fungal type vacuole	CC
GO:0000325	plant type vacuole	CC
GO:0000326	protein storage vacuole	CC
GO:0000327	lytic vacuole within protein storage vacuole	CC
GO:0000328	fungal type vacuole lumen	CC
GO:0000329	fungal type vacuole membrane	CC
GO:0000330	plant type vacuole lumen	CC
GO:0000331	contractile vacuole	CC
GO:0000332	template for synthesis of g rich strand of telomere dna activity	MF
GO:0000333	telomerase catalytic core complex	CC
GO:0000334	3 hydroxyanthranilate 3 4 dioxygenase activity	MF
GO:0000335	negative regulation of transposition dna mediated	BP
GO:0000336	positive regulation of transposition dna mediated	BP
GO:0000337	regulation of transposition dna mediated	BP
GO:0000338	protein deneddylation	BP
GO:0000339	rna cap binding	MF
GO:0000340	rna 7 methylguanosine cap binding	MF
GO:0000341	rna trimethylguanosine cap binding	MF
GO:0000342	rna cap 4 binding	MF
GO:0000343	plastid encoded plastid rna polymerase complex a	CC
GO:0000344	plastid encoded plastid rna polymerase complex b	CC
GO:0000345	cytosolic dna directed rna polymerase complex	CC
GO:0000346	transcription export complex	CC
GO:0000347	tho complex	CC
GO:0000348	mrna branch site recognition	BP
GO:0000349	generation of catalytic spliceosome for first transesterification step	BP
GO:0000350	generation of catalytic spliceosome for second transesterification step	BP
GO:0000352	trans assembly of sl containing precatalytic spliceosome	BP
GO:0000353	formation of quadruple sl u4 u5 u6 snrnp	BP
GO:0000354	cis assembly of pre catalytic spliceosome	BP
GO:0000365	mrna trans splicing via spliceosome	BP
GO:0000366	intergenic mrna trans splicing	BP
GO:0000372	group i intron splicing	BP
GO:0000373	group ii intron splicing	BP
GO:0000374	group iii intron splicing	BP
GO:0000375	rna splicing via transesterification reactions	BP
GO:0000376	rna splicing via transesterification reactions with guanosine as nucleophile	BP
GO:0000377	rna splicing via transesterification reactions with bulged adenosine as nucleophile	BP
GO:0000378	rna exon ligation	BP
GO:0000379	trna type intron splice site recognition and cleavage	BP
GO:0000380	alternative mrna splicing via spliceosome	BP
GO:0000381	regulation of alternative mrna splicing via spliceosome	BP
GO:0000384	first spliceosomal transesterification activity	MF
GO:0000386	second spliceosomal transesterification activity	MF
GO:0000387	spliceosomal snrnp assembly	BP
GO:0000388	spliceosome conformational change to release u4 or u4atac and u1 or u11	BP
GO:0000389	mrna 3 splice site recognition	BP
GO:0000390	spliceosomal complex disassembly	BP
GO:0000393	spliceosomal conformational changes to generate catalytic conformation	BP
GO:0000394	rna splicing via endonucleolytic cleavage and ligation	BP
GO:0000395	mrna 5 splice site recognition	BP
GO:0000398	mrna splicing via spliceosome	BP
GO:0000399	cellular bud neck septin structure	CC
GO:0000400	four way junction dna binding	MF
GO:0000401	open form four way junction dna binding	MF
GO:0000402	crossed form four way junction dna binding	MF
GO:0000403	y form dna binding	MF
GO:0000404	heteroduplex dna loop binding	MF
GO:0000405	bubble dna binding	MF
GO:0000406	double strand single strand dna junction binding	MF
GO:0000407	phagophore assembly site	CC
GO:0000408	ekc keops complex	CC
GO:0000409	regulation of transcription by galactose	BP
GO:0000410	carbon catabolite repression of transcription by galactose	BP
GO:0000411	positive regulation of transcription by galactose	BP
GO:0000412	histone peptidyl prolyl isomerization	BP
GO:0000413	protein peptidyl prolyl isomerization	BP
GO:0000414	regulation of histone h3 k36 methylation	BP
GO:0000415	negative regulation of histone h3 k36 methylation	BP
GO:0000416	positive regulation of histone h3 k36 methylation	BP
GO:0000417	hir complex	CC
GO:0000418	rna polymerase iv complex	CC
GO:0000419	rna polymerase v complex	CC
GO:0000421	autophagosome membrane	CC
GO:0000422	autophagy of mitochondrion	BP
GO:0000423	mitophagy	BP
GO:0000424	micromitophagy	BP
GO:0000425	pexophagy	BP
GO:0000426	micropexophagy	BP
GO:0000427	plastid encoded plastid rna polymerase complex	CC
GO:0000428	dna directed rna polymerase complex	CC
GO:0000429	carbon catabolite regulation of transcription from rna polymerase ii promoter	BP
GO:0000430	regulation of transcription from rna polymerase ii promoter by glucose	BP
GO:0000431	regulation of transcription from rna polymerase ii promoter by galactose	BP
GO:0000432	positive regulation of transcription from rna polymerase ii promoter by glucose	BP
GO:0000433	carbon catabolite repression of transcription from rna polymerase ii promoter by glucose	BP
GO:0000434	carbon catabolite repression of transcription from rna polymerase ii promoter by galactose	BP
GO:0000435	positive regulation of transcription from rna polymerase ii promoter by galactose	BP
GO:0000436	carbon catabolite activation of transcription from rna polymerase ii promoter	BP
GO:0000437	carbon catabolite repression of transcription from rna polymerase ii promoter	BP
GO:0000438	core tfiih complex portion of holo tfiih complex	CC
GO:0000439	transcription factor tfiih core complex	CC
GO:0000440	core tfiih complex portion of nef3 complex	CC
GO:0000444	mis12 mind type complex	CC
GO:0000445	tho complex part of transcription export complex	CC
GO:0000446	nucleoplasmic tho complex	CC
GO:0000447	endonucleolytic cleavage in its1 to separate ssu rrna from 5 8s rrna and lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000448	cleavage in its2 between 5 8s rrna and lsu rrna of tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000449	endonucleolytic cleavage of tricistronic rrna transcript ssu rrna lsu rrna 5s	BP
GO:0000450	cleavage of bicistronic rrna transcript ssu rrna lsu rrna	BP
GO:0000451	rrna 2 o methylation	BP
GO:0000452	snorna guided rrna 2 o methylation	BP
GO:0000453	enzyme directed rrna 2 o methylation	BP
GO:0000454	snorna guided rrna pseudouridine synthesis	BP
GO:0000455	enzyme directed rrna pseudouridine synthesis	BP
GO:0000457	endonucleolytic cleavage between ssu rrna and lsu rrna of tricistronic rrna transcript ssu rrna lsu rrna 5s	BP
GO:0000458	endonucleolytic cleavage between lsu rrna and 5s rrna of tricistronic rrna transcript ssu rrna lsu rrna 5s	BP
GO:0000459	exonucleolytic trimming involved in rrna processing	BP
GO:0000460	maturation of 5 8s rrna	BP
GO:0000461	endonucleolytic cleavage to generate mature 3 end of ssu rrna from ssu rrna 5 8s rrna lsu rrna	BP
GO:0000462	maturation of ssu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000463	maturation of lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000464	endonucleolytic cleavage in its1 upstream of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000465	exonucleolytic trimming to generate mature 5 end of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000466	maturation of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000467	exonucleolytic trimming to generate mature 3 end of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000468	generation of mature 3 end of lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000469	cleavage involved in rrna processing	BP
GO:0000470	maturation of lsu rrna	BP
GO:0000471	endonucleolytic cleavage in 3 ets of tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000472	endonucleolytic cleavage to generate mature 5 end of ssu rrna from ssu rrna 5 8s rrna lsu rrna	BP
GO:0000473	maturation of lsu rrna from tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000474	maturation of ssu rrna from tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000475	maturation of 2s rrna	BP
GO:0000476	maturation of 4 5s rrna	BP
GO:0000477	generation of mature 5 end of lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000478	endonucleolytic cleavage involved in rrna processing	BP
GO:0000479	endonucleolytic cleavage of tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000480	endonucleolytic cleavage in 5 ets of tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000481	maturation of 5s rrna	BP
GO:0000482	maturation of 5s rrna from tetracistronic rrna transcript ssu rrna 5 8s rrna lsu rrna	BP
GO:0000483	endonucleolytic cleavage of tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000484	cleavage between ssu rrna and 5 8s rrna of tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000485	cleavage between 2s rrna and lsu rrna of tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000486	cleavage between 5 8s rrna and 2s rrna of tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000487	maturation of 5 8s rrna from tetracistronic rrna transcript ssu rrna 5 8s rrna 2s rrna lsu rrna	BP
GO:0000488	maturation of lsu rrna from tetracistronic rrna transcript ssu rrna lsu rrna 4 5s rrna 5s rrna	BP
GO:0000489	maturation of ssu rrna from tetracistronic rrna transcript ssu rrna lsu rrna 4 5s rrna 5s rrna	BP
GO:0000491	small nucleolar ribonucleoprotein complex assembly	BP
GO:0000492	box c d snornp assembly	BP
GO:0000493	box h aca snornp assembly	BP
GO:0000494	box c d snorna 3 end processing	BP
GO:0000495	box h aca snorna 3 end processing	BP
GO:0000497	dna template activity	MF
GO:0000500	rna polymerase i upstream activating factor complex	CC
GO:0000501	flocculation via cell wall protein carbohydrate interaction	BP
GO:0000502	proteasome complex	CC
GO:0000506	glycosylphosphatidylinositol n acetylglucosaminyltransferase gpi gnt complex	CC
GO:0000578	embryonic axis specification	BP
GO:0000700	mismatch base pair dna n glycosylase activity	MF
GO:0000701	purine specific mismatch base pair dna n glycosylase activity	MF
GO:0000702	oxidized base lesion dna n glycosylase activity	MF
GO:0000703	oxidized pyrimidine nucleobase lesion dna n glycosylase activity	MF
GO:0000704	pyrimidine dimer dna n glycosylase activity	MF
GO:0000705	achiasmate meiosis i	BP
GO:0000706	meiotic dna double strand break processing	BP
GO:0000707	meiotic dna recombinase assembly	BP
GO:0000708	meiotic strand invasion	BP
GO:0000709	meiotic joint molecule formation	BP
GO:0000710	meiotic mismatch repair	BP
GO:0000711	meiotic dna repair synthesis	BP
GO:0000712	resolution of meiotic recombination intermediates	BP
GO:0000713	meiotic heteroduplex formation	BP
GO:0000714	meiotic strand displacement	BP
GO:0000715	nucleotide excision repair dna damage recognition	BP
GO:0000716	transcription coupled nucleotide excision repair dna damage recognition	BP
GO:0000717	nucleotide excision repair dna duplex unwinding	BP
GO:0000718	nucleotide excision repair dna damage removal	BP
GO:0000719	photoreactive repair	BP
GO:0000720	pyrimidine dimer repair by nucleotide excision repair	BP
GO:0000721	r r butanediol dehydrogenase activity	MF
GO:0000722	telomere maintenance via recombination	BP
GO:0000723	telomere maintenance	BP
GO:0000724	double strand break repair via homologous recombination	BP
GO:0000725	recombinational repair	BP
GO:0000726	non recombinational repair	BP
GO:0000727	double strand break repair via break induced replication	BP
GO:0000728	gene conversion at mating type locus dna double strand break formation	BP
GO:0000729	dna double strand break processing	BP
GO:0000730	dna recombinase assembly	BP
GO:0000731	dna synthesis involved in dna repair	BP
GO:0000732	strand displacement	BP
GO:0000733	dna strand renaturation	BP
GO:0000734	gene conversion at mating type locus dna repair synthesis	BP
GO:0000735	removal of nonhomologous ends	BP
GO:0000736	double strand break repair via single strand annealing removal of nonhomologous ends	BP
GO:0000737	dna catabolic process endonucleolytic	BP
GO:0000738	dna catabolic process exonucleolytic	BP
GO:0000740	nuclear membrane fusion	BP
GO:0000741	karyogamy	BP
GO:0000742	karyogamy involved in conjugation with cellular fusion	BP
GO:0000743	nuclear migration involved in conjugation with cellular fusion	BP
GO:0000744	karyogamy involved in conjugation with mutual genetic exchange	BP
GO:0000745	nuclear migration involved in conjugation with mutual genetic exchange	BP
GO:0000746	conjugation	BP
GO:0000747	conjugation with cellular fusion	BP
GO:0000748	conjugation with mutual genetic exchange	BP
GO:0000749	response to pheromone triggering conjugation with cellular fusion	BP
GO:0000750	pheromone dependent signal transduction involved in conjugation with cellular fusion	BP
GO:0000751	mitotic cell cycle g1 arrest in response to pheromone	BP
GO:0000752	agglutination involved in conjugation with cellular fusion	BP
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	BP
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	BP
GO:0000755	cytogamy	BP
GO:0000756	response to pheromone regulating conjugation with mutual genetic exchange	BP
GO:0000758	agglutination involved in conjugation with mutual genetic exchange	BP
GO:0000759	cell morphogenesis involved in conjugation with mutual genetic exchange	BP
GO:0000760	adaptation to pheromone regulating conjugation with mutual genetic exchange	BP
GO:0000761	conjugant formation	BP
GO:0000762	pheromone induced unidirectional conjugation	BP
GO:0000765	response to pheromone regulating pheromone induced unidirectional conjugation	BP
GO:0000766	negative adaptation of signaling pathway by response to pheromone involved in pheromone induced unidirectional conjugation	BP
GO:0000767	cell morphogenesis involved in conjugation	BP
GO:0000768	syncytium formation by plasma membrane fusion	BP
GO:0000769	syncytium formation by mitosis without cytokinesis	BP
GO:0000770	peptide pheromone export	BP
GO:0000771	agglutination involved in conjugation	BP
GO:0000772	mating pheromone activity	MF
GO:0000773	phosphatidyl n methylethanolamine n methyltransferase activity	MF
GO:0000774	adenyl nucleotide exchange factor activity	MF
GO:0000775	chromosome centromeric region	CC
GO:0000776	kinetochore	CC
GO:0000777	condensed chromosome kinetochore	CC
GO:0000778	condensed nuclear chromosome kinetochore	CC
GO:0000779	condensed chromosome centromeric region	CC
GO:0000780	condensed nuclear chromosome centromeric region	CC
GO:0000781	chromosome telomeric region	CC
GO:0000782	telomere cap complex	CC
GO:0000783	nuclear telomere cap complex	CC
GO:0000784	nuclear chromosome telomeric region	CC
GO:0000785	chromatin	CC
GO:0000786	nucleosome	CC
GO:0000787	cytoplasmic nucleosome	CC
GO:0000788	nuclear nucleosome	CC
GO:0000789	cytoplasmic chromatin	CC
GO:0000790	nuclear chromatin	CC
GO:0000791	euchromatin	CC
GO:0000792	heterochromatin	CC
GO:0000793	condensed chromosome	CC
GO:0000794	condensed nuclear chromosome	CC
GO:0000795	synaptonemal complex	CC
GO:0000796	condensin complex	CC
GO:0000797	condensin core heterodimer	CC
GO:0000798	nuclear cohesin complex	CC
GO:0000799	nuclear condensin complex	CC
GO:0000800	lateral element	CC
GO:0000801	central element	CC
GO:0000802	transverse filament	CC
GO:0000803	sex chromosome	CC
GO:0000804	w chromosome	CC
GO:0000805	x chromosome	CC
GO:0000806	y chromosome	CC
GO:0000807	z chromosome	CC
GO:0000808	origin recognition complex	CC
GO:0000809	cytoplasmic origin of replication recognition complex	CC
GO:0000810	diacylglycerol diphosphate phosphatase activity	MF
GO:0000811	gins complex	CC
GO:0000812	swr1 complex	CC
GO:0000813	escrt i complex	CC
GO:0000814	escrt ii complex	CC
GO:0000815	escrt iii complex	CC
GO:0000817	coma complex	CC
GO:0000818	nuclear mis12 mind complex	CC
GO:0000819	sister chromatid segregation	BP
GO:0000820	regulation of glutamine family amino acid metabolic process	BP
GO:0000821	regulation of arginine metabolic process	BP
GO:0000822	inositol hexakisphosphate binding	MF
GO:0000823	inositol 1 4 5 trisphosphate 6 kinase activity	MF
GO:0000824	inositol tetrakisphosphate 3 kinase activity	MF
GO:0000825	inositol tetrakisphosphate 6 kinase activity	MF
GO:0000827	inositol 1 3 4 5 6 pentakisphosphate kinase activity	MF
GO:0000828	inositol hexakisphosphate kinase activity	MF
GO:0000829	inositol heptakisphosphate kinase activity	MF
GO:0000830	inositol hexakisphosphate 4 kinase activity	MF
GO:0000831	inositol hexakisphosphate 6 kinase activity	MF
GO:0000832	inositol hexakisphosphate 5 kinase activity	MF
GO:0000833	inositol heptakisphosphate 4 kinase activity	MF
GO:0000834	inositol heptakisphosphate 6 kinase activity	MF
GO:0000835	er ubiquitin ligase complex	CC
GO:0000836	hrd1p ubiquitin ligase complex	CC
GO:0000837	doa10p ubiquitin ligase complex	CC
GO:0000838	hrd1p ubiquitin ligase erad m complex	CC
GO:0000839	hrd1p ubiquitin ligase erad l complex	CC
GO:0000900	translation repressor activity mrna regulatory element binding	MF
GO:0000901	translation repressor activity non nucleic acid binding	MF
GO:0000902	cell morphogenesis	BP
GO:0000904	cell morphogenesis involved in differentiation	BP
GO:0000905	sporocarp development involved in asexual reproduction	BP
GO:0000906	6 7 dimethyl 8 ribityllumazine synthase activity	MF
GO:0000907	sulfonate dioxygenase activity	MF
GO:0000908	taurine dioxygenase activity	MF
GO:0000909	sporocarp development involved in sexual reproduction	BP
GO:0000910	cytokinesis	BP
GO:0000911	cytokinesis by cell plate formation	BP
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	BP
GO:0000913	preprophase band assembly	BP
GO:0000914	phragmoplast assembly	BP
GO:0000915	actomyosin contractile ring assembly	BP
GO:0000916	actomyosin contractile ring contraction	BP
GO:0000917	division septum assembly	BP
